CarNumber,LastName,Sector,Time,EntryTime,ExitTime,Lap,Flag
16,Servia,LAP,76.1488,58468.9829,58545.1317,17,Green
5,Hinchcliffe,LAP,105.1603,58913.3426,59018.5029,17,Green
8,Chilton,LAP,107.5653,58917.5443,59025.1096,17,Green
83,Kimball,LAP,107.0232,59456.4664,59563.4896,17,Green
14,Munoz,LAP,360.0563,58575.0086,58935.0649,17,Green
19,Jones,LAP,810.0325,58565.229,59375.2615,17,Green
1,Pagenaud,LAP,101.5195,59609.0138,59710.5333,18,Green
21,Hildebrand,LAP,249.1278,58271.7317,58520.8595,18,Green
16,Servia,LAP,990.0194,58545.1317,59535.1511,18,Green
5,Hinchcliffe,LAP,107.5474,59018.5029,59126.0503,18,Green
8,Chilton,LAP,109.0079,59025.1096,59134.1175,18,Green
83,Kimball,LAP,107.615,59563.4896,59671.1046,18,Green
14,Munoz,LAP,107.9901,58935.0649,59043.055,18,Green
19,Jones,LAP,109.7764,59375.2615,59485.0379,18,Green
18,Gutierrez,LAP,109.5716,58896.6981,59006.2697,18,Green
21,Hildebrand,LAP,856.516,58520.8595,59377.3755,19,Green
16,Servia,LAP,107.57,59535.1511,59642.7211,19,Green
8,Chilton,LAP,119.708,59134.1175,59253.8255,19,Green
83,Kimball,LAP,106.4104,59671.1046,59777.515,19,Green
14,Munoz,LAP,105.5973,59043.055,59148.6523,19,Green
19,Jones,LAP,109.4711,59485.0379,59594.509,19,Green
18,Gutierrez,LAP,107.435,59006.2697,59113.7047,19,Green
21,Hildebrand,LAP,103.8251,59377.3755,59481.2006,20,Green
16,Servia,LAP,112.8917,59642.7211,59755.6128,20,Green
18,Gutierrez,LAP,104.6445,59113.7047,59218.3492,20,Green
21,Hildebrand,LAP,130.7378,59481.2006,59611.9384,21,Green
21,Hildebrand,LAP,103.7724,59611.9384,59715.7108,22,Green
2,Newgarden,S1,2.5415,57157.6946,57160.2361,0,Green
8,Chilton,S1,2.7768,55918.369,55921.1458,0,Green
27,Andretti,S1,2.8534,56243.8128,56246.6662,0,Green
83,Kimball,S1,2.8083,55950.2157,55953.024,0,Green
20,Pigot,S1,2.7987,56820.3109,56823.1096,0,Green
19,Jones,S1,3.0641,56248.7474,56251.8115,0,Green
9,Dixon,S1,2.7499,57195.9485,57198.6984,0,Green
4,Daly,S1,2.9205,55934.0457,55936.9662,0,Green
98,Rossi,S1,2.6055,55983.3705,55985.976,0,Green
3,Castroneves,S1,2.5726,57188.7351,57191.3077,0,Green
10,Kanaan,S1,2.7725,56690.7268,56693.4993,0,Green
16,Servia,S1,2.8522,55940.3163,55943.1685,0,Green
7,Aleshin,S1,2.7697,56190.9899,56193.7596,0,Green
26,Sato,S1,2.6814,55964.353,55967.0344,0,Green
21,Hildebrand,S1,2.7083,55932.8769,55935.5852,0,Green
12,Power,S1,2.749,57310.5644,57313.3134,0,Green
28,Hunter-Reay,S1,2.8226,56685.8447,56688.6673,1,Green
5,Hinchcliffe,S1,2.7892,56688.6112,56691.4004,1,Green
15,Rahal,S1,2.7993,57015.7364,57018.5357,1,Green
1,Pagenaud,S1,2.618,56749.5163,56752.1343,1,Green
18,Gutierrez,S1,2.7986,56742.0482,56744.8468,1,Green
3,Castroneves,S1,2.4525,57264.6035,57267.056,1,Green
98,Rossi,S1,2.4919,56060.6834,56063.1753,1,Green
14,Munoz,S1,2.9196,56067.9483,56070.8679,1,Green
4,Daly,S1,2.6515,56016.1443,56018.7958,1,Green
2,Newgarden,S1,2.5632,57234.2996,57236.8628,1,Green
8,Chilton,S1,2.7602,55996.0653,55998.8255,1,Green
7,Aleshin,S1,2.7508,56267.4916,56270.2424,1,Red
26,Sato,S1,2.5727,56042.7955,56045.3682,1,Green
21,Hildebrand,S1,2.6141,56011.6319,56014.246,1,Green
12,Power,S1,2.605,57388.9721,57391.5771,1,Green
83,Kimball,S1,2.8563,56027.5531,56030.4094,1,Green
20,Pigot,S1,2.7563,56899.9385,56902.6948,1,Green
10,Kanaan,S1,2.6564,56770.6954,56773.3518,1,Green
16,Servia,S1,2.7581,56019.8031,56022.5612,1,Green
5,Hinchcliffe,S1,2.7225,56767.0877,56769.8102,2,Green
27,Andretti,S1,2.752,56709.3143,56712.0663,2,Green
14,Munoz,S1,2.7161,56146.7526,56149.4687,2,Green
19,Jones,S1,2.7513,56692.5235,56695.2748,2,Green
9,Dixon,S1,2.8075,57469.5789,57472.3864,2,Green
10,Kanaan,S1,2.627,56846.877,56849.504,2,Green
16,Servia,S1,2.6868,56097.3579,56100.0447,2,Green
18,Gutierrez,S1,2.7847,56822.2338,56825.0185,2,Green
3,Castroneves,S1,2.559,57340.2886,57342.8476,2,Green
98,Rossi,S1,2.5389,56136.6842,56139.2231,2,Green
28,Hunter-Reay,S1,2.6779,56763.2372,56765.9151,2,Green
1,Pagenaud,S1,2.4992,56825.0635,56827.5627,2,Green
20,Pigot,S1,2.7386,56978.8012,56981.5398,2,Green
4,Daly,S1,2.5611,56093.0588,56095.6199,2,Green
2,Newgarden,S1,2.8016,57318.2107,57321.0123,2,Green
8,Chilton,S1,2.7804,56073.5646,56076.345,2,Green
83,Kimball,S1,2.7504,56104.8445,56107.5949,2,Green
26,Sato,S1,2.5729,56118.4143,56120.9872,2,Green
21,Hildebrand,S1,2.6197,56089.6827,56092.3024,2,Green
12,Power,S1,2.5465,57465.5465,57468.093,2,Green
15,Rahal,S1,2.6182,57092.9229,57095.5411,2,Green
28,Hunter-Reay,S1,2.6775,56842.4301,56845.1076,3,Green
27,Andretti,S1,2.6808,56786.8097,56789.4905,3,Green
14,Munoz,S1,2.6412,56223.8355,56226.4767,3,Green
19,Jones,S1,2.6557,56772.0685,56774.7242,3,Green
26,Sato,S1,2.5946,56199.3194,56201.914,3,Green
3,Castroneves,S1,2.5149,57415.8003,57418.3152,3,Green
1,Pagenaud,S1,2.5492,56905.5015,56908.0507,3,Green
7,Aleshin,S1,2.6292,56727.6612,56730.2904,3,Green
98,Rossi,S1,2.5212,56212.0365,56214.5577,3,Green
15,Rahal,S1,2.6273,57169.0105,57171.6378,3,Green
5,Hinchcliffe,S1,2.6151,56843.68,56846.2951,3,Green
4,Daly,S1,2.563,56169.4162,56171.9792,3,Green
83,Kimball,S1,2.7738,56181.9062,56184.68,3,Green
20,Pigot,S1,2.6655,57057.1387,57059.8042,3,Green
21,Hildebrand,S1,2.5904,56166.961,56169.5514,3,Green
12,Power,S1,2.5788,57541.6548,57544.2336,3,Green
8,Chilton,S1,2.8659,56158.4066,56161.2725,3,Green
10,Kanaan,S1,2.6566,56927.5466,56930.2032,3,Green
16,Servia,S1,2.703,56174.3548,56177.0578,3,Green
5,Hinchcliffe,S1,2.6338,56921.1649,56923.7987,4,Green
